#p.58
かつ（は）	且つ（は）	①とりあえずちょっとすぐに	「かつは…かつは…」＝一方では…もう一方では…
かなし	愛し・悲し	①愛しい ②悲しい	
かなふ	適ふ・叶ふ	①ぴったりと合う ②思い通りになる	
…かぬ		①…できない	→…あへず・え…ず・…かたし
かはゆし	顔映ゆし	①見ていられない程に恥ずかしい ②見ていられない程に痛ましい	
かまへ	構へ	①用意	「かまふ」＝用意する／→いそぎ・まうけ・ようい
かまへて［さだめて］	構へて［定めて］	①必ず… ②決して…《打消》	
かまびすし［かしがまし・かまし］	喧し	①やかましい	→あな［あや］
からし	辛し	①残酷で辛い	つらし／→うし
からむ	搦む	①捕らえて縛る	
…がり	…の許	①…の所へ	
かりそめなり	仮初めなり	①一時的でほんのちょっとだ	
かる	離る／枯る	①離れる ②枯れる	→よがれ
きこえ	聞こえ	①噂・評判	→おと・な
きこゆ［きこえさす］	聞こゆ［聞こえさす］	①噂・評判になる ②訳が分かって理解できる ③「言ふ」の《謙譲語》	→けいす・そうす・まうす
きこす［きこしめす］	聞こす［聞こし召す］	①「聞く」の《尊敬語》	
きたのかた	北の方	①貴族の正妻	
きと		①きっとしっかりと ②さっとちょっと	
きは	際	①端・境界・最後 ②（人の程度）年齢・身分	→ほど
きはやかなり［けざやかなり］	際やかなり	①際だって鮮やかだ	
ぎやうず	行ず	①仏前勤行する ②仏道修行する	→おこなふ
#p.64
きようず	興ず	①面白がる	
きんだち	公達・君達	①貴族の子息子女	
くさ	草・藻	①（物事を起こすもととなる）種	「くさぐさ」＝種種（の）
ぐす	具す	①（物を）持っていく ②（人を）連れていく ③いっしょにいる	
くぜち［くぜつ］	口説・口舌	①弁論 ②口論	
くちをし	口惜し	①残念だ	
くつ	朽つ	①衰える・死ぬ	
くまなし	隈無し	①黒い所や暗い所や見えない所がない	
くもゐ［くものうへ］	雲居［雲の上］	①宮中	→ここのへ
くんず	屈ず	①気が滅入ってふさぎ込む	
けいす	啓す	①「（中宮・春宮に）言ふ」の《謙譲語》	→きこゆ［きこえさす］・そうす・まうす
けうなり	希［稀］有なり	①珍しくて驚くべきだ	
けうらなり［きよらなり・きよげなり］	清らなり［清らなり・清げなり］	①清らかで美しい	
けし	怪し・異し	①悪くて変だ	「けしうはあらず」＝悪くなくて変でない／「けしからず」＝悪くて変だ
けしき	気色	①（物の）様子・情景 ②（人の）様子・機嫌	「けしきばかり」＝少しばかり／「けしきばむ」＝様子が外に表れる／→てんき
けに	異に	①妙に	
げに	実に	①なるほど本当に	
けやけし	異やけし	①目立っている	
こうず	困ず	①困って疲れる	
こがす	焦がす	①炭で焦がして香を焚きしめる ②胸を焦がして心を苦しめる	
ここのへ	九重	①宮中	→くもゐ［くものうへ］
ここら［そこら］	幾許	①たくさん・そこばく	→あまた
こころあり	心有り	①思慮分別があり趣を解する	「こころなし」＝思慮分別がなく趣を解さない
こころう	心得	①理解する	
こころぐるし	心苦し	①辛い ②辛い程に（相手が）気の毒で可哀想だ	→いたはし
こころづく	心付く	①気に入る	「こころづきなし」＝気に入らない
こころにくし	心憎し	①奥ゆかしい	
こころづくし	心尽くし	①物思いの限りを尽くすこと	
こころもとなし	心許無し	①はっきりしない ②待ち遠しくそわそわしている ③気がかりでそわそわしている	→おぼつかなし
こころやすし	心安し	①頼もしく安心だ	→うしろめたし・うしろやすし
こしかた［きしかた］	来し方	①これまでの過去	→ゆくすゑ［ゆくさき］
こしをれ	腰折れ	①下手な歌	
#p.65
こぞ	去年	①去年	
こちごちし［こちなし］	骨骨し［骨無し］	①無骨で不作法で無風流だ	
こちたし	言甚し	①大げさだ	→うるさし
こと	言	①言葉	「ことのは」＝和歌・漢詩／→こちたし
こと	事	①事柄	「ことごとし」＝大げさだ／「ことなしぶ」＝何でもない様子をする
こと	異	①異なった	「ことはら」＝腹違いの兄弟姉妹／→はらから
ことに	殊	①殊更・特殊	「ことに」＝格別に・特別に
ことわり	理	①道理・もっともなこと	
ことわる	理る・事割る・断る	①細かく順序立てて説明する	→わりなし
このかみ	子の上・兄	①年上の人・年長の人	
こはし	強し	①強い	
こぼつ	毀つ	①壊す	→やる
こまやかなり	細やかなり	①細々として詳しい ②濃厚だ	
こよなし		①この上なく格別だ	「こよなく」＝この上なく格別に
こらんず	御覧ず	①「見る」の《尊敬語》	→みそなはす
さう	左右	①あれこれ迷うこと	「さうなし」＝あれこれ迷うことがない
さう	双	①並ぶもの	「さうなし」＝並ぶものがない／→になし・またなし
さうざうし	索索し	①もの寂しい	
ざえ	才	①才能・見所	【かど】
さが	性	①人間の本性 ②人間の習慣	「さがなし」＝意地が悪い
さかし	賢し	①利口ぶって差し出がましい	「さかしだつ」＝利口ぶって差し出がましい／「さかしら」＝利口ぶって差し出がましくする／→かしこし・さとし
さくりもよよ（と）	吃逆もよよ（と）	①しゃくりあげ激しく泣く様子	
…さす	…止す	①…することを途中でやめる	
さすがに		①（そうは言うものの）やはり	→なほ
さながら［しかながら］	然ながら	①そっくりそのまますべて ②しかしながら	
さはり	障り	①差し障り	「さはる」＝差し障りがある
さばれ［さはれ］	然ばれ	①どうにでもなれ ②そうではあるが	「さは有れ」
さぶらふ	候ふ	①「有り・居り」の《丁寧語》 ②「仕ふ」の《謙譲語》	→はべり
さとし	聡し	①賢く優れている	→かしこし・さかし
さやけし［さやかなり］	分明けし［分明なり］	①明るく澄んでいて清々しく潔白だ	
さらなり	更なり	①今更言うまでもなくもちろんだ	「いへばさらなり」【言へば更なり】
さらに…		①少しも【全く・決して】…《打消》	→かけて…・たえて…・つやつや…・ゆめ（ゆめ）…・よに…
#p.66
さらぬ…	然らぬ…	①そうでない…別の…	
さりとて	然有りとて	①（そう）だからといって	「さりとてやはある」＝このままではあるまい［おれまい］
さる	去る	①避けられない	「さらぬ…」
さる	然有る	①そうである	「さるは【然るは】」＝そうであるが実は／「さるものにて」「さるかたにて」
さる	去る	①（時・季節などが）来る	「ゆふさる」＝夕方になる
さるべき［しかるべき］	然るべき［然かるべき］	①ふさわしい ②立派な ③（そうあるはずで）宿命的な	
さわがし	騒がし	①忙しい	
